Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
IFI44,3.136589631,2.254092572,-2.136897484,-1.13572298,-11.86556608,-12.11161579
TNFSF4,3.646093356,4.876928853,0.102687305,-0.069405633,0.631529464,-1.443281941
CALCRL,3.095029364,-0.156671681,0.037181185,-0.256591027,-4.886530562,-5.255493494
IKZF2,2.719384573,2.830509689,-0.460628752,-0.462552106,-3.44406,-3.14463689
TNFSF10,2.823271024,1.248746583,-0.831138861,-0.897338316,-6.010398761,-6.499934457
IL7R,4.510387286,5.697510813,-0.739508758,-0.554836447,-4.554239957,-2.886854098
ENPP2,2.869396901,1.394899987,-0.592610158,-0.03411256,-6.854237938,-3.140091537
DDX58,2.678803391,1.578547918,-1.060309427,-0.729428275,-4.997024497,-5.228735562
NR4A3,4.040018697,4.124485802,-0.48167489,-0.399030969,-7.226247171,-6.53660044
IFIT2,5.060002324,5.141255115,-1.14358695,-1.11615199,-8.907458399,-8.766828139
IFIT3,3.730200255,2.928263588,-1.473257286,-0.934133106,-8.399475408,-7.987019943
IFIT1,3.77178209,1.235981778,-1.842911186,-0.949749602,-12.25343022,-10.38225371
BIRC3,2.568486932,1.784404647,-0.327297794,-0.574920908,-5.709536472,-4.549334357
OAS3,2.820308627,0.790021666,-1.617238053,-0.905369414,-11.76246183,-8.933374668
OASL,3.738600837,2.827819414,-0.900561387,-0.723093807,-9.1430335,-9.015934634
GZMB,3.589078705,1.586800852,0.134861217,-0.516432739,-0.716404445,-0.314025386
CCL22,3.789481202,0.164968935,-0.652268944,-0.416262752,-8.59528854,-4.801487589
KCTD19,3.324758198,1.95543999,-0.518661177,-0.826406431,-1.26682085,-1.802851256
CLEC10A,-4.13583298,-1.679750537,0.643802837,0.009979098,3.838550293,1.54426852
CCR7,5.389169285,5.588619098,-0.68557269,-1.096727467,-10.24419253,-9.105416932
LINC-ROR,3.708886131,2.740741494,-0.421021358,-1.240986303,-2.63213597,-4.316267815
