Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
LINC01128,-0.254738094,-0.116796986,-0.01639226,0.221960391,0.337683179,0.720323133
LOC107984850,-0.254738094,-0.116796986,-0.01639226,0.221960391,0.337683179,0.720323133
NOC2L,0.487916163,0.079122658,0.264495731,0.226968342,-0.12140572,0.654147603
KLHL17,0.026669352,0.306325351,0.529494876,0.592557434,0.025109285,0.636971144
ISG15,2.146141972,2.018224421,0.012976223,-0.313481406,-7.231908627,-5.313365983
AGRN,0.524466628,0.667211316,0.424986287,0.198304639,-1.948763356,-1.097378408
LOC100288175,0.156298896,-0.339104641,0.02766532,-0.137285342,-3.861622018,-3.324316582
C1orf159,0.217925493,0.481794401,0.6160015,0.416132431,-0.348581572,-0.47842235
TNFRSF18,0.240069283,0.343330982,0.856388629,0.524114299,0.829612098,-0.364625985
SDF4,0.38554777,0.215862463,0.338633748,0.265913192,-0.270426141,0.117527395
B3GALT6,0.57175569,-0.547460593,0.622276769,0.294757253,0.318821437,0.562654557
UBE2J2,0.291386363,0.063585827,0.283014745,0.093057539,-0.252502104,-0.161850432
ACAP3,-0.140834982,-0.093594707,0.403860514,0.494947016,0.391302979,1.996306259
PUSL1,0.714951959,0.00369274,0.859816215,0.395767609,-0.149859332,1.377662011
INTS11,0.215153545,0.215950838,0.304498805,0.272927639,-0.18812658,-0.005450234
CPTP,0.24139241,0.40399913,0.777983651,0.286332243,-0.299329213,0.462572527
DVL1,0.287183118,0.347789756,0.89613784,0.509223458,0.118641075,1.438838885
AURKAIP1,0.427634296,0.315504039,0.586682787,0.230729178,-0.163477716,0.295938243
CCNL2,-0.277944989,0.337346226,-0.010842953,0.093163319,-0.293725876,-0.414248347
MRPL20-AS1,0.494151648,0.050325593,0.426038496,0.295709027,0.079632823,0.280354176
MRPL20,0.636299093,0.105675561,0.277594303,0.089927483,-0.2048198,0.129345822
ATAD3B,1.086854874,0.33594767,0.464991487,0.36817805,-0.247083353,0.412994657
ATAD3A,0.742699211,0.030441866,0.669594298,0.390869494,-0.034595123,1.140824979
SSU72,0.295433232,-0.084825054,0.177402246,0.010464328,-0.006134397,0.076790885
MIB2,-0.057788253,0.277861579,0.821931753,0.867410156,-0.092065051,0.819715291
CDK11B,0.458130953,0.418707119,0.20633318,0.115323114,-0.481220366,-0.428039816
SLC35E2B,-0.506370695,0.02703529,0.041204451,0.180335068,0.026781507,0.101029401
CDK11A,0.912819941,0.904159613,0.78080523,0.096655231,-0.402829071,-0.417368962
SLC35E2A,-0.531187467,0.072671159,-0.039034543,0.083847029,-0.047870887,0.099085056
NADK,0.707433721,-0.014361324,0.23957459,0.194691297,-0.94585637,-0.202779976
GNB1,0.084000463,-0.164148012,0.16190798,-0.043808794,-0.148027257,-0.255125387
PRKCZ,-0.271267924,-0.580903961,0.219195031,-0.190405898,-0.165228052,-0.61394399
FAAP20,0.059022934,-0.013304207,0.436518422,0.178439334,-0.078595515,0.584671843
