"","Symbol","xRNA16h","xRNA6h","pUUC16h","pUUC6h","R84816h","R8486h"
"1","LINC01128",-0.254738094034618,-0.11679698620045,-0.221897498071949,-0.32696333813981,0.337683178861995,0.720323133032982
"2","LOC107984850",-0.254738094034618,-0.11679698620045,-0.221897498071949,-0.32696333813981,0.337683178861995,0.720323133032982
"3","NOC2L",0.487916163101602,0.0791226575009472,0.243167024720227,-0.132822535841589,-0.121405719839343,0.654147603474737
"4","KLHL17",0.0266693517514188,0.306325351445787,-0.483955615356834,-0.268624834958372,0.0251092853675171,0.63697114429145
"6","ISG15",2.14614197165104,2.01822442112903,2.15354820664085,2.34765143336365,-7.23190862730528,-5.31336598275979
"7","AGRN",0.524466627941224,0.667211315879606,0.120026073105525,0.482708764541559,-1.94876335631523,-1.09737840764133
"8","LOC100288175",0.156298896229161,-0.339104641462505,0.145916079991052,-0.187706096463015,-3.8616220176227,-3.3243165824181
"10","C1orf159",0.21792549271783,0.481794401485501,-0.378171939144757,0.0796440699493431,-0.348581571994254,-0.478422350137275
"11","TNFRSF18",0.240069282768981,0.343330981879605,-0.596929035668225,-0.160638762841537,0.829612097543183,-0.364625984879684
"13","SDF4",0.385547770270754,0.215862463131975,0.0662652361569471,-0.0340469508395497,-0.270426141484318,0.117527395126077
"14","B3GALT6",0.571755689735535,-0.547460592915013,-0.0319918958962884,-0.827328096399547,0.318821436795256,0.562654557380554
"15","UBE2J2",0.291386363276589,0.0635858269244839,0.0275699889598598,-0.0154818600776747,-0.252502104136765,-0.161850431565245
"16","ACAP3",-0.140834982261885,-0.0935947070215129,-0.524410981683033,-0.573289038125248,0.391302978651899,1.99630625911422
"17","PUSL1",0.714951958934284,0.00369274006506865,-0.123805282999784,-0.37246373005326,-0.149859331756564,1.3776620107641
"18","INTS11",0.21515354490198,0.215950837790575,-0.0705290202986358,-0.0416930712651616,-0.188126579616998,-0.00545023365271692
"19","CPTP",0.241392410059659,0.403999130331933,-0.517163381299578,0.132342050189811,-0.299329212709525,0.462572526813319
"20","DVL1",0.287183117602983,0.347789755939628,-0.589596464023782,-0.144920604244327,0.118641074872646,1.4388388849141
"22","AURKAIP1",0.427634296487385,0.315504039071543,-0.139254253747677,0.101550216056592,-0.163477716089849,0.295938243184573
"23","CCNL2",-0.277944988657288,0.33734622633825,-0.249137934328509,0.256650274349072,-0.293725875908499,-0.414248347260025
"24","MRPL20-AS1",0.494151647612262,0.0503255926088599,0.0874055619405961,-0.229151339873238,0.0796328228133298,0.280354176228466
"25","MRPL20",0.636299093264025,0.105675560797968,0.377591167377555,0.0290457230805009,-0.204819799612933,0.12934582228387
"26","ATAD3B",1.08685487417515,0.335947670301945,0.641870023897019,-0.017084929580882,-0.247083353351312,0.412994657379359
"27","ATAD3A",0.742699211013696,0.0304418661425873,0.0933057362348794,-0.344671252222706,-0.0345951229787115,1.14082497872444
"28","SSU72",0.295433231772405,-0.084825053592355,0.136684009160873,-0.0830181471936657,-0.006134397133533,0.0767908854569207
"29","MIB2",-0.0577882530550137,0.277861578694891,-0.859870586477569,-0.578349680335995,-0.0920650511982552,0.8197152905949
"30","CDK11B",0.458130953089286,0.418707118950075,0.269896478856602,0.315710425691288,-0.481220365530903,-0.428039815763154
"31","SLC35E2B",-0.506370694827572,0.0270352897060892,-0.528339407613307,-0.139021414305219,0.0267815073279856,0.101029400739921
"32","CDK11A",0.912819941083845,0.904159612918114,0.146054024831946,0.822541869255486,-0.402829071242377,-0.417368962216492
"33","SLC35E2A",-0.531187467366018,0.0726711590061113,-0.474896453646191,0.00047466294716996,-0.0478708870414204,0.0990850557862285
"34","NADK",0.707433721026051,-0.0143613235398279,0.48693050073793,-0.194779957092471,-0.945856369969545,-0.202779976272808
"35","GNB1",0.0840004626972666,-0.164148012229822,-0.0595188440496991,-0.107767434494091,-0.148027256795808,-0.255125387476481
"36","PRKCZ",-0.271267923629756,-0.580903961236024,-0.471274361874836,-0.37613073301027,-0.165228052178854,-0.613943990030075
"37","FAAP20",0.0590229335259387,-0.0133042066626835,-0.357429412503049,-0.174645963409876,-0.0785955151148918,0.584671842934406
"38","SKI",-0.243195825693859,-0.252215904148975,-0.567701795909787,-0.48736357321159,0.699134465707475,1.38865184295705
"39","MORN1",-0.257025644534537,0.122787281967089,-0.501667247374413,0.189186643085825,0.0653115198200933,-0.346036858640761
"40","RER1",0.152881658097945,0.203612558512985,0.108001293703448,0.221309427270013,-0.202376349287893,-0.265616083798583
"41","PEX10",0.172295390200007,0.0373400254286067,-0.0980562505800593,0.00102464539244008,0.249851186854345,1.27886717522483
"42","TPRG1L",-0.342329900470245,0.322067453450039,-0.477441907812404,0.213700785858019,-0.2577587129382,-0.183010455089139
"43","WRAP73",-0.0256674451017691,0.111312183662241,-0.285632899585798,-0.0274451380077355,-0.170815350361962,0.341132197360315
"44","TP73-AS1",0.101111142155307,-0.0687263512697999,-0.229337669763599,-0.195237030734479,-0.104859734848217,0.427001286321549
"45","LRRC47",0.359666663517545,-0.0209723786218313,0.238108296647227,-0.02473661348319,-0.148397188638261,0.251927353964043
"46","CEP104",-0.0275510398613317,-0.245488726898563,0.0118746864600449,-0.249891644271756,-0.454736447250314,-0.0735518639707042
"47","DFFB",-0.369534294319378,-0.430834299431486,-0.599925715049939,-0.480826819705892,-1.1376455086718,1.19765115808655
"48","C1orf174",0.178528477854355,-0.0324718370079567,0.02763888146984,-0.00711297778386875,0.114795987487277,0.212999216202113
"49","NPHP4",-0.229440200465222,0.265415437997537,-0.391393162287865,-0.093625167494488,0.425249623787846,0.7243770062198
"50","KCNAB2",-0.106152845919696,-0.403458532876478,-0.410174475253601,-0.582806363869083,0.504763539119681,1.0492975891624
"51","RPL22",-0.333390143984207,-0.246542894955841,-0.529914771729956,-0.207419729998686,0.723750368265051,0.953570131092281
"52","ICMT",0.274226442950748,-0.114920274508837,-0.0274210856594997,-0.243058660741083,0.56989595290573,0.572880705543013
"54","ACOT7",0.510256715148466,-0.0163780223746851,0.162585493231405,-0.11248986221275,-0.454352525658367,0.57298655329346
"55","NOL9",0.232515365688945,0.119389644401866,0.390444208804609,0.0812857191738482,-0.339929771860912,0.140875628458312
"56","ZBTB48",-0.12813174363943,0.0816202141302444,-0.263001763027961,-0.266113788368177,-0.572368061604175,0.145589602051736
"57","KLHL21",0.375506894865737,0.0637304218176092,0.113530466464321,-0.211331119370355,0.0152035008495835,1.22764302656002
"58","PHF13",-0.120257841536614,-0.322326280876321,-0.329704204715674,-0.495093807931381,0.180838714045174,-0.166358695370615
"59","THAP3",0.627085007881617,0.55592970921618,0.370417396047402,0.621580227329837,-0.840125528965143,-0.467282123983077
"60","DNAJC11",0.368767970014617,0.0197904452356667,0.550875382047188,-0.0320558935192055,-0.231106461303616,0.0479538392509529
"61","CAMTA1",0.230805135784106,-0.175541091704462,0.037865100252666,0.00533356337311025,0.139367660667279,-0.00137487730769415
"62","VAMP3",-0.00290611728471286,0.0899100834092164,0.00764988617598037,0.147573359906856,-0.00537553437135324,-0.622190256867929
"63","PER3",0.17580769054439,-0.240229536921332,0.130588030338123,-0.28090891289837,0.16535279592452,0.458204377824325
"64","UTS2",-0.174070896781414,-0.172370419489286,-0.247709137620841,0.0869524873829587,0.184666917280194,0.266751243938106
"65","TNFRSF9",6.07557983134192,5.24162534006275,5.4917680265472,6.53606739281837,-9.08719443865809,-7.756871372398
"66","PARK7",0.0974504093025984,0.00710988765405865,-0.0217172427328701,0.0643528443861368,0.0607551771385898,0.135537496640033
"67","RERE",0.00119747076991882,-0.0910206708714594,0.222355036675219,-0.0764548277035764,-0.0650650939741397,-0.289060966338363
"68","ENO1",-0.033347100837816,-0.111295912797655,-0.0927237192001951,-0.0733078015744038,-0.147795039408859,0.150126578143001
"69","H6PD",0.00584228624414144,0.667447687893333,0.0478129992886074,0.654116156553438,-1.34514085452545,-0.50909135457779
"70","SLC25A33",0.471005164058537,-0.378351642510515,0.436971454568655,-0.347288664156425,-0.0873331330716285,0.12804741013884
"71","TMEM201",0.566592614543287,-0.0289036823972686,0.027121436141144,-0.447637047631066,0.0123827412753038,0.844499660282456
"72","PIK3CD",0.347236101891327,-0.0589646526284379,0.156427114257705,-0.0910172558493871,-0.713202973169979,-0.57701070884744
"73","PIK3CD-AS1",0.261104813414308,0.647473895876858,0.119427536134764,0.71036444248938,-0.348847207758917,-1.19923093590528
"74","CLSTN1",-0.168557414609073,0.255983603405602,-0.214539816998306,0.261288178520225,0.0214016997681862,0.0809672233342011
"75","CTNNBIP1",-0.373666061867762,-0.360054553006346,-0.991235954247381,-0.461585691076155,0.408357162300327,0.891605126637288
"76","LZIC",-0.0182595363789195,-0.0946114078007711,-0.00534594659716243,-0.148092576346975,0.316019881280312,0.324870697121894
"77","NMNAT1",0.00661078237158777,0.289700861362668,0.0472240231974878,0.305217684325479,-0.411726123682745,-0.663876545972864
"78","UBE4B",-0.148687277431462,-0.242498394027847,-0.0640913860181659,-0.242157648819323,0.0959144726861787,-0.146737225804314
"79","KIF1B",0.0290283198690885,-0.263102846298814,0.398193861065825,0.0150097165755537,-0.526375827200531,-0.587056409195251
"80","PGD",-0.0270259638017219,0.00743444028092814,-0.0608979956452152,0.0520082250042457,-0.538271519147949,-0.787837231805217
"81","CENPS",0.716892003613679,0.471382460937346,0.190865613891477,0.593516024103867,0.518377823664033,-0.0242034318087329
"82","DFFA",0.111500177275619,-0.237519910735425,0.0445467953834767,-0.190737365327352,0.218341161249375,0.561254350771059
"83","PEX14",0.38665174874465,0.524456600451217,-0.10285680586096,0.407342981114185,-0.638190117224708,-0.248704145870893
"84","CASZ1",0.868228958986517,-0.0380785566506939,0.724558836456144,0.199485494680793,-0.764371281607362,1.64874264790747
"85","TARDBP",0.446301707995944,0.175845873764435,0.295840394818323,0.202628279945768,-0.060400431746086,-0.222200943427399
"86","SRM",0.877348265327435,0.03183806847348,0.615180521896979,-0.190664467986994,-0.208765151251343,1.46029250196296
"87","EXOSC10",0.0657335390147972,0.0731907572303637,0.131348330290386,0.174645259833909,-0.022901441665088,-0.600787564145571
"88","MTOR",0.188084041878607,0.213762346296798,0.385957699632978,0.208976970362084,-0.220721362656728,-0.392252454882228
"89","UBIAD1",0.420331962642942,-0.243647379051192,0.339908010492374,-0.515078606649081,0.159897100823814,1.19252652552495
"91","FBXO44",0.103804710899932,-0.168315546448217,-0.215962707764672,-0.306237800441739,-0.821245665760872,0.777519242209409
