"","log2FoldChange","padj"
"LINC01128",0.337683178861995,1
"LOC107984850",0.337683178861995,1
"NOC2L",-0.121405719839343,1
"KLHL17",0.0251092853675171,1
"ISG15",-7.23190862730528,1.72163613153248e-38
"AGRN",-1.94876335631523,1
"LOC100288175",-3.8616220176227,0.000337446742355158
"C1orf159",-0.348581571994254,1
"TNFRSF18",0.829612097543183,1
"TNFRSF4",-0.366719464178826,1
"SDF4",-0.270426141484318,1
"B3GALT6",0.318821436795256,1
"UBE2J2",-0.252502104136765,1
"ACAP3",0.391302978651899,1
"PUSL1",-0.149859331756564,1
"INTS11",-0.188126579616998,1
"CPTP",-0.299329212709525,1
"DVL1",0.118641074872646,1
"MXRA8",0.8732683196279,1
"AURKAIP1",-0.163477716089849,1
"CCNL2",-0.293725875908499,1
"MRPL20-AS1",0.0796328228133298,1
"MRPL20",-0.204819799612933,1
"ATAD3B",-0.247083353351312,1
"ATAD3A",-0.0345951229787115,1
"SSU72",-0.006134397133533,1
"MIB2",-0.0920650511982552,1
"CDK11B",-0.481220365530903,1
"SLC35E2B",0.0267815073279856,1
"CDK11A",-0.402829071242377,1
"SLC35E2A",-0.0478708870414204,1
"NADK",-0.945856369969545,1
"GNB1",-0.148027256795808,1
"PRKCZ",-0.165228052178854,1
"FAAP20",-0.0785955151148918,1
"SKI",0.699134465707475,1
"MORN1",0.0653115198200933,1
"RER1",-0.202376349287893,1
"PEX10",0.249851186854345,1
"TPRG1L",-0.2577587129382,1
"WRAP73",-0.170815350361962,1
"TP73-AS1",-0.104859734848217,1
"LRRC47",-0.148397188638261,1
"CEP104",-0.454736447250314,1
"DFFB",-1.1376455086718,1
"C1orf174",0.114795987487277,1
"NPHP4",0.425249623787846,1
"KCNAB2",0.504763539119681,1
"RPL22",0.723750368265051,1
"ICMT",0.56989595290573,1
"GPR153",-1.99082931983524,1
"ACOT7",-0.454352525658367,1
"NOL9",-0.339929771860912,1
"ZBTB48",-0.572368061604175,1
"KLHL21",0.0152035008495835,1
"PHF13",0.180838714045174,1
"THAP3",-0.840125528965143,1
"DNAJC11",-0.231106461303616,1
