"","log2FoldChange","padj"
"LINC01128",-0.0163922597867834,1
"LOC107984850",-0.0163922597867834,1
"NOC2L",0.264495730712788,1
"KLHL17",0.529494875913984,1
"PLEKHN1",1.00387185594423,1
"ISG15",0.0129762234668138,1
"AGRN",0.42498628740164,1
"LOC100288175",0.0276653204320261,1
"RNF223",0.249633603437309,1
"C1orf159",0.616001500375104,1
"TNFRSF18",0.856388629467974,1
"TNFRSF4",0.861040031288154,1
"SDF4",0.338633747864952,1
"B3GALT6",0.622276768891796,1
"UBE2J2",0.283014744758216,1
"ACAP3",0.403860514238582,1
"PUSL1",0.859816214738812,1
"INTS11",0.304498804982632,1
"CPTP",0.777983651258231,1
"DVL1",0.89613784003805,1
"MXRA8",-0.90410609595034,1
"AURKAIP1",0.586682787437861,1
"CCNL2",-0.0108429529195992,1
"MRPL20-AS1",0.426038496401833,1
"MRPL20",0.277594302796023,1
"ATAD3B",0.464991487347023,1
"ATAD3A",0.669594297522926,1
"SSU72",0.177402245801975,1
"MIB2",0.821931752571515,1
"CDK11B",0.206333180394348,1
"SLC35E2B",0.0412044512882688,1
"CDK11A",0.78080522972827,1
"SLC35E2A",-0.0390345429288614,1
"NADK",0.239574589960188,1
"GNB1",0.161907980392386,1
"PRKCZ",0.219195031491852,1
"FAAP20",0.436518422045374,1
"SKI",0.342638671824796,1
"MORN1",0.260718103654006,1
"RER1",0.0630489957691165,1
"PEX10",0.289402022481833,1
"TPRG1L",0.153299442350351,1
"WRAP73",0.279209963684482,1
"TP73-AS1",0.349500951497596,1
"LRRC47",0.140341184889123,1
"CEP104",-0.0206179870132576,1
"DFFB",0.251056441349708,1
"C1orf174",0.168683282893645,1
"NPHP4",0.181194901811312,1
"KCNAB2",0.323359681388796,1
"RPL22",0.213678939045892,1
"ICMT",0.320142888311067,1
"GPR153",-0.11485887470267,1
"ACOT7",0.367174071413289,1
"NOL9",-0.139945699610147,1
"ZBTB48",0.15459419423205,1
"KLHL21",0.281140646814325,1
"PHF13",0.228011716407711,1
"THAP3",0.276113891848403,1
"DNAJC11",-0.163197334574097,1
"CAMTA1",0.211541849041096,1
"VAMP3",0.00702312988656667,1
"PER3",0.0628975622393418,1
