"","log2FoldChange","padj"
"LINC01409",0.585367093182979,1
"LINC01128",-0.32696333813981,1
"LOC107984850",-0.32696333813981,1
"NOC2L",-0.132822535841589,1
"KLHL17",-0.268624834958372,1
"PLEKHN1",0.0777837640847674,1
"ISG15",2.34765143336365,1
"AGRN",0.482708764541559,1
"LOC100288175",-0.187706096463015,1
"RNF223",-0.157248655759629,1
"C1orf159",0.0796440699493431,1
"TNFRSF18",-0.160638762841537,1
"SDF4",-0.0340469508395497,1
"B3GALT6",-0.827328096399547,1
"UBE2J2",-0.0154818600776747,1
"ACAP3",-0.573289038125248,1
"PUSL1",-0.37246373005326,1
"INTS11",-0.0416930712651616,1
"CPTP",0.132342050189811,1
"DVL1",-0.144920604244327,1
"AURKAIP1",0.101550216056592,1
"CCNL2",0.256650274349072,1
"MRPL20-AS1",-0.229151339873238,1
"MRPL20",0.0290457230805009,1
"ATAD3B",-0.017084929580882,1
"ATAD3A",-0.344671252222706,1
"SSU72",-0.0830181471936657,1
"MIB2",-0.578349680335995,1
"CDK11B",0.315710425691288,1
"SLC35E2B",-0.139021414305219,1
"CDK11A",0.822541869255486,1
"SLC35E2A",0.00047466294716996,1
"NADK",-0.194779957092471,1
"GNB1",-0.107767434494091,1
"PRKCZ",-0.37613073301027,1
"FAAP20",-0.174645963409876,1
"SKI",-0.48736357321159,1
"MORN1",0.189186643085825,1
"RER1",0.221309427270013,1
"PEX10",0.00102464539244008,1
"TPRG1L",0.213700785858019,1
"WRAP73",-0.0274451380077355,1
"TP73-AS1",-0.195237030734479,1
"LRRC47",-0.02473661348319,1
"CEP104",-0.249891644271756,1
"DFFB",-0.480826819705892,1
"C1orf174",-0.00711297778386875,1
"NPHP4",-0.093625167494488,1
"KCNAB2",-0.582806363869083,1
"RPL22",-0.207419729998686,1
"ICMT",-0.243058660741083,1
"ACOT7",-0.11248986221275,1
"NOL9",0.0812857191738482,1
"ZBTB48",-0.266113788368177,1
