"","log2FoldChange","padj"
"LINC01409",0.218538678942897,1
"LINC01128",-0.11679698620045,1
"LOC107984850",-0.11679698620045,1
"NOC2L",0.0791226575009472,1
"KLHL17",0.306325351445787,1
"PLEKHN1",0.531068552469884,1
"ISG15",2.01822442112903,1
"AGRN",0.667211315879606,1
"LOC100288175",-0.339104641462505,1
"RNF223",0.0120866188178629,1
"C1orf159",0.481794401485501,1
"TNFRSF18",0.343330981879605,1
"SDF4",0.215862463131975,1
"B3GALT6",-0.547460592915013,1
"UBE2J2",0.0635858269244839,1
"ACAP3",-0.0935947070215129,1
"PUSL1",0.00369274006506865,1
"INTS11",0.215950837790575,1
"CPTP",0.403999130331933,1
"DVL1",0.347789755939628,1
"AURKAIP1",0.315504039071543,1
"CCNL2",0.33734622633825,1
"MRPL20-AS1",0.0503255926088599,1
"MRPL20",0.105675560797968,1
"ATAD3B",0.335947670301945,1
"ATAD3A",0.0304418661425873,1
"SSU72",-0.084825053592355,1
"MIB2",0.277861578694891,1
"CDK11B",0.418707118950075,1
"SLC35E2B",0.0270352897060892,1
"CDK11A",0.904159612918114,1
"SLC35E2A",0.0726711590061113,1
"NADK",-0.0143613235398279,1
"GNB1",-0.164148012229822,1
"PRKCZ",-0.580903961236024,1
"FAAP20",-0.0133042066626835,1
"SKI",-0.252215904148975,1
"MORN1",0.122787281967089,1
"RER1",0.203612558512985,1
"PEX10",0.0373400254286067,1
"TPRG1L",0.322067453450039,1
"WRAP73",0.111312183662241,1
"TP73-AS1",-0.0687263512697999,1
"LRRC47",-0.0209723786218313,1
"CEP104",-0.245488726898563,1
"DFFB",-0.430834299431486,1
"C1orf174",-0.0324718370079567,1
"NPHP4",0.265415437997537,1
"KCNAB2",-0.403458532876478,1
"RPL22",-0.246542894955841,1
"ICMT",-0.114920274508837,1
"ACOT7",-0.0163780223746851,1
"NOL9",0.119389644401866,1
"ZBTB48",0.0816202141302444,1
"KLHL21",0.0637304218176092,1
"PHF13",-0.322326280876321,1
"THAP3",0.55592970921618,1
"DNAJC11",0.0197904452356667,1
"CAMTA1",-0.175541091704462,1
"VAMP3",0.0899100834092164,1
"PER3",-0.240229536921332,1
"UTS2",-0.172370419489286,1
"TNFRSF9",5.24162534006275,1.79510267028895e-14
"PARK7",0.00710988765405865,1
"RERE",-0.0910206708714594,1
"ENO1",-0.111295912797655,1
"H6PD",0.667447687893333,1
"SLC25A33",-0.378351642510515,1
"TMEM201",-0.0289036823972686,1
"PIK3CD",-0.0589646526284379,1
"PIK3CD-AS1",0.647473895876858,1
"CLSTN1",0.255983603405602,1
"CTNNBIP1",-0.360054553006346,1
"LZIC",-0.0946114078007711,1
"NMNAT1",0.289700861362668,1
"UBE4B",-0.242498394027847,1
"KIF1B",-0.263102846298814,1
"PGD",0.00743444028092814,1
"CENPS",0.471382460937346,1
"DFFA",-0.237519910735425,1
"PEX14",0.524456600451217,1
"CASZ1",-0.0380785566506939,1
"TARDBP",0.175845873764435,1
"SRM",0.03183806847348,1
"EXOSC10",0.0731907572303637,1
"MTOR",0.213762346296798,1
"UBIAD1",-0.243647379051192,1
"FBXO44",-0.168315546448217,1
"FBXO6",0.2698115337934,1
"MAD2L2",0.0077701542431418,1
"AGTRAP",-0.171253835225347,1
"MTHFR",-0.212343975511451,1
"CLCN6",-0.43630683655419,1
"KIAA2013",-0.137612184994186,1
"PLOD1",-0.357297761510436,1
"MFN2",0.186514274997507,1
"MIIP",0.4457376130519,1
"TNFRSF1B",1.20775250242702,1
"VPS13D",0.0901002778141304,1
"PRDM2",-0.198184656804686,1
"EFHD2",-0.187411561268585,1
"CASP9",0.0857171697320733,1
"DNAJC16",0.508647869789885,1
"AGMAT",-0.0425511339260436,1
"DDI2",-0.13243865783085,1
"PLEKHM2",0.528827792829263,1
"SLC25A34",0.965238945732864,1
"UQCRHL",-0.119288407382935,1
"FLJ37453",0.217308396821728,1
"SPEN",-0.323917568844803,1
"ZBTB17",0.705686923530809,1
"EPHA2",0.598229720944292,1
"ARHGEF19",0.0197610712298208,1
"CPLANE2",-0.260537565633746,1
"FBXO42",0.0765156533227452,1
"SZRD1",0.359266949384423,1
"NECAP2",0.9384378950917,1
"NBPF1",-0.335593037416114,1
"CROCCP2",0.171100159670612,1
"CROCC",0.146513671877757,1
"ATP13A2",0.66263925997833,1
"SDHB",-0.0533216612286342,1
"ALDH4A1",0.189502679237918,1
"IFFO2",1.68861763047139,1
"UBR4",0.66359831127604,1
"EMC1",-0.114350743980783,1
"MRTO4",-0.183626650642263,1
"AKR7A2",0.148776432839278,1
"SLC66A1",-0.32730564534785,1
"CAPZB",0.0110111870725179,1
"MICOS10",-0.122285243031595,1
"TMCO4",-0.00525067777469243,1
"OTUD3",-0.202944101092884,1
"MUL1",0.579340672336865,1
"PINK1",0.351902213864069,1
"PINK1-AS",0.186049226689708,1
"DDOST",0.337527593748308,1
"HP1BP3",-0.0781965259020242,1
"EIF4G3",-0.585847377336257,1
"ECE1",4.02989391757183,0.00170949011705084
"USP48",-0.0571543897519973,1
"LINC00339",-0.509999609526715,1
"CDC42",-0.0435183613918277,1
"ZBTB40",0.327101703272744,1
"KDM1A",-0.29717049312439,1
"LUZP1",-0.0392381980639486,1
"RPL11",0.0320396864494053,1
"ELOA",0.0161979427132841,1
"PITHD1",0.0825616215877164,1
"LYPLA2",0.372113325331911,1
"GALE",-0.229904527063543,1
"HMGCL",0.214188976763756,1
"FUCA1",-0.431238632961859,1
"CNR2",-1.13012208963497,1
"PNRC2",0.254071238460006,1
"SRSF10",-0.12978890343064,1
"IFNLR1",-0.36231760498872,1
"STPG1",0.794665051229596,1
"NIPAL3",-0.159062256318859,1
"RCAN3",-0.122002684218217,1
"NCMAP",1.19249472992686,1
"SRRM1",0.257778012005341,1
"CLIC4",0.0587351637511879,1
"RUNX3",0.48138013361595,1
"SYF2",0.06743308695538,1
"RSRP1",0.198844529621483,1
"TMEM50A",0.24975728336689,1
"MACO1",0.0941030942313235,1
"LDLRAP1",-0.271506546761406,1
"SELENON",0.0587318117863573,1
"MTFR1L",0.234654230117875,1
"AUNIP",-0.170553353904045,1
"PAQR7",-0.000693322596408366,1
"STMN1",-0.161563629907316,1
"PAFAH2",-0.315000389475704,1
"PDIK1L",-0.23453624523494,1
"CEP85",-0.417134994863817,1
"SH3BGRL3",-0.297725145349839,1
"UBXN11",0.431732641738583,1
"CD52",-0.671933153619494,1
"DHDDS",0.369683478893705,1
"HMGN2",0.0767532873222234,1
"ARID1A",-0.039000534195489,1
"PIGV",0.88415348368748,1
"ZDHHC18",0.804208012990713,1
"SFN",1.60525590448249,1
"GPN2",0.148880184686249,1
"GPATCH3",0.487368322819745,1
"NUDC",0.137316507542083,1
"SLC9A1",0.340057997802316,1
"WDTC1",0.0869065522862605,1
"TMEM222",0.267077680983776,1
"SYTL1",-1.09364160312126,1
"MAP3K6",0.210284440846467,1
"GPR3",-0.392181315478487,1
"WASF2",0.0274129886539732,1
"AHDC1",0.587555006523736,1
"IFI6",1.25642379169595,1
"FAM76A",-0.00500512233671172,1
"STX12",0.0545502415369025,1
"PPP1R8",0.151074646462119,1
"THEMIS2",0.547105815969286,1
"RPA2",0.0759185706419953,1
"XKR8",0.175565104963463,1
"EYA3",0.115115152659311,1
"DNAJC8",-0.0300801254997524,1
"PHACTR4",0.0955343445950226,1
"RCC1",-0.251248148601052,1
"SNHG3",-0.314333959703519,1
"SNORA73B",-0.285196146740727,1
"TRNAU1AP",-0.378622619166151,1
"SNHG12",-0.102676318527205,1
"TAF12",-0.204007499956075,1
"GMEB1",0.271018170311703,1
"YTHDF2",0.129169797063249,1
"EPB41",0.014583781146754,1
"SRSF4",0.168192116382903,1
"MECR",0.0999556552640158,1
"LAPTM5",-0.328909436126641,1
"PUM1",-0.00149029535445367,1
"SNRNP40",0.0646294068743869,1
"ZCCHC17",0.0391796253496805,1
"FABP3",-0.146146349020736,1
"PEF1",0.311800931246845,1
"PTP4A2",-0.268562307859322,1
"KHDRBS1",0.137310348629227,1
"TMEM39B",0.0211590269375667,1
"KPNA6",0.114927682900956,1
"TXLNA",0.179712173281572,1
"IQCC",0.219107236833653,1
"TMEM234",0.453970407681753,1
"EIF3I",0.0623416177412743,1
"HDAC1",-0.291234198061683,1
"MARCKSL1",0.67997797859252,1
"FAM229A",1.11357270515172,1
"BSDC1",0.742362062567627,1
"ZBTB8OS",-0.0889983109138923,1
"RBBP4",-0.236384510701298,1
"KIAA1522",0.759527168998583,1
"YARS1",-0.206447607237352,1
"S100PBP",-0.424483963646183,1
"RNF19B",0.806802968597158,1
"AK2",-0.158845252704675,1
"TRIM62",0.696347345652242,1
"ZNF362",-0.387392771363942,1
"PHC2",-0.223355983535911,1
"ZSCAN20",0.370032252837464,1
"SMIM12",0.175775879916259,1
"ZMYM6",-0.0935638262354752,1
"ZMYM1",-0.0737914052664574,1
"SFPQ",0.118970919915559,1
"ZMYM4",0.0755352901773724,1
"KIAA0319L",0.188672097955867,1
"NCDN",0.227949591177426,1
"TFAP2E",-0.554835949320221,1
"PSMB2",0.186083774457169,1
"C1orf216",-0.382715927692469,1
"CLSPN",0.0906366577930438,1
"AGO4",-0.435598214930953,1
"AGO1",0.231785878984368,1
"AGO3",0.216509642419032,1
"ADPRHL2",0.313567078652365,1
"COL8A2",-0.536441452630184,1
"TRAPPC3",-0.0774468406549297,1
"MAP7D1",-0.043404568028831,1
"THRAP3",0.270296057114925,1
"SH3D21",0.239633709901773,1
"STK40",-0.0985466104100678,1
"LSM10",-0.10189765766051,1
"OSCP1",0.14401236119507,1
"MRPS15",0.0174024702235308,1
"CSF3R",1.8248278762755,1
"ZC3H12A",1.23421116321558,1
"MEAF6",-0.0390049507242001,1
"SNIP1",0.579990305278201,1
"GNL2",0.0564195496412823,1
"C1orf109",-0.360881292776215,1
"CDCA8",0.196049656984544,1
"MANEAL",-0.204251478143092,1
"YRDC",-0.18283181138968,1
"C1orf122",-0.0531934071010798,1
"MTF1",0.363287139366076,1
"INPP5B",-0.0757162926384608,1
"SF3A3",-0.0205696303669482,1
