Gene_Symbol,Chr,Start,End,Strand,GeneLength,MOGSP_2,MOGSP_3,MOG_3,MOG_4,MOG_5,Ly49N_1,Ly49P_1,Ly49N_2,Ly49P_2,Ly49N_3,Ly49P_3
4933401J01Rik,chr1,3073253,3074322,+,1069,0,0,0,0,0,1,0,0,0,6,1
Gm26206,chr1,3102016,3102125,+,109,0,0,0,0,0,0,0,3,0,0,0
Xkr4,chr1,3205901,3671498,-,465597,0,0,0,0,0,1,0,5,4,3,0
Gm18956,chr1,3252757,3253236,+,479,0,0,0,0,0,1,0,1,0,0,0
Gm37180,chr1,3365731,3368549,-,2818,0,0,0,0,0,0,0,0,0,0,0
Gm37363,chr1,3375556,3377788,-,2232,0,0,0,0,0,5,0,9,0,4,0
Gm37686,chr1,3464977,3467285,-,2308,0,0,0,0,0,3,0,2,0,4,1
Gm1992,chr1,3466587,3513553,+,46966,0,0,0,0,0,0,0,0,0,0,0
Gm37329,chr1,3512451,3514507,-,2056,0,0,0,0,0,5,0,2,1,3,0
Gm7341,chr1,3531795,3532720,+,925,0,0,0,0,0,0,1,0,0,0,2
Gm38148,chr1,3592892,3595903,-,3011,0,0,0,0,0,0,0,3,0,0,0
Gm19938,chr1,3647309,3658904,-,11595,0,0,0,0,0,6,0,10,0,10,2
Gm10568,chr1,3680155,3681788,+,1633,0,0,0,0,0,1,0,4,0,0,0
Gm38385,chr1,3752010,3754360,+,2350,0,0,0,0,0,0,0,6,0,0,0
Gm27396,chr1,3783876,3783933,-,57,0,0,0,0,0,0,0,0,0,0,0
Gm37381,chr1,3905739,3986215,-,80476,0,0,0,0,0,42,0,39,5,33,6
Rp1,chr1,3999557,4409241,-,409684,0,0,0,0,0,15,0,26,4,5,6
Gm6101,chr1,4256234,4260519,-,4285,0,0,0,0,0,18,0,7,2,3,0
Gm37483,chr1,4363346,4364829,-,1483,0,0,0,0,0,17,0,28,1,26,2
Sox17,chr1,4490931,4497354,-,6423,0,0,0,0,0,2,0,3,0,0,3
Gm37587,chr1,4496551,4499558,+,3007,0,0,0,0,0,1,0,4,0,3,0
Gm7357,chr1,4522905,4526737,+,3832,3,1,0,0,0,33,5,51,5,21,2
Gm22307,chr1,4529017,4529123,+,106,0,0,0,0,0,0,0,0,0,0,0
Gm38076,chr1,4534837,4535286,-,449,0,0,0,0,0,0,0,0,0,1,0
Gm37323,chr1,4583129,4586252,-,3123,0,0,0,0,0,0,1,1,0,1,1
Gm7369,chr1,4610471,4611406,+,935,0,0,0,0,0,1,0,0,0,2,0
Gm6085,chr1,4687934,4689403,-,1469,9,46,8,8,4,57,37,75,36,44,41
Gm6119,chr1,4692219,4693424,-,1205,0,0,0,0,0,3,4,8,4,9,7
Gm25493,chr1,4723277,4723379,-,102,0,0,0,0,0,0,0,0,0,0,0
Gm2053,chr1,4735046,4735676,-,630,20,0,0,0,0,2,2,3,2,1,2
Gm6123,chr1,4771131,4772199,+,1068,12,13,5,19,17,47,42,38,51,46,45
Mrpl15,chr1,4773206,4785739,-,12533,1880,2481,2571,2526,2565,2696,2624,2990,2462,2864,2688
Gm37144,chr1,4778063,4779212,-,1149,0,6,0,0,0,0,0,1,2,1,1
Lypla1,chr1,4807788,4848410,+,40622,1466,2496,1435,1991,2150,315,715,527,682,544,1129
Gm37988,chr1,4807892,4886770,+,78878,0,0,0,0,0,0,0,0,0,0,0
Tcea1,chr1,4857814,4897909,+,40095,1183,1720,927,1759,1734,446,944,591,920,701,1171
Gm6104,chr1,4880049,4880651,-,602,0,1,0,3,4,0,2,1,3,2,2
Gm37277,chr1,4905751,4906861,-,1110,0,22,0,0,0,15,7,7,4,12,2
Rgs20,chr1,4909576,5070285,-,160709,0,0,0,0,0,1,0,4,2,1,0
Gm17100,chr1,4927028,4927299,-,271,0,0,0,0,0,0,1,0,0,0,0
Gm37079,chr1,4938576,4940710,-,2134,0,0,0,0,0,38,2,46,5,10,11
Gm16041,chr1,4970857,4976820,+,5963,0,1,0,0,0,0,2,6,1,8,7
